;CASCAVEL - PR;PONTA GROSSA - PR;CURITIBA - PR;PATO BRANCO - PR;FOZ DO IGUACU - PR;LONDRINA - PR;FCO. BELTRAO - PR;CAMPO MOURAO - PR;CORNELIO PROCOPIO - PR;MORRETES - PR;GUARATUBA - PR;GUARAPUAVA - PR;PARANAVAI - PR;UMUARAMA - PR;ITAPEMA - SC;JOINVILLE - SC;CACADOR - SC;ITAJAI - SC;BALN. CAMBORIU - SC;FLORIANOPOLIS - SC;CHAPECO - SC;CONCORDIA - SC;F. WESTPHALEN - RS ;ERECHIM - RS;PASSO FUNDO - RS;PELOTAS - RS;SANTA MARIA - RS;PORTO ALEGRE - RS;B. GONCALVES - RS;BAGE - RS;GRAMADO - RS;URUGUAIANA - RS
CASCAVEL - PR;0;406;499;234;139;371;180;178;436;574;627;248;340;169;731;626;470;709;720;800;340;410;376;439;519;957;664;802;691;903;858;899
PONTA GROSSA - PR;406;0;116;346;543;272;377;337;281;191;244;163;390;475;348;243;294;326;337;417;444;380;573;442;525;989;788;740;656;1037;703;1079
CURITIBA - PR;499;116;0;438;635;387;470;456;397;67,4;130;255;504;556;234;130;312;212;223;303;475;411;585;473;556;949;835;741;616;1067;663;1137
PATO BRANCO - PR;234;346;438;0;337;498;55,3;355;561;507;533;187;532;392;583;490;223;561;572;626;137;206;229;236;316;793;518;588;488;757;607;771
FOZ DO IGUACU - PR;139;543;635;337;0;508;283;315;573;711;767;385;447;299;869;763;550;846;857;936;443;514;479;542;622;878;767;905;794;1007;913;635
LONDRINA - PR;371;272;387;498;508;0;530;186;67,4;464;517;318;162;261;621;516;547;598;609;689;634;633;726;695;778;1262;1015;1013;911;1254;976;1288
FCO. BELTRAO - PR;180;377;470;55,3;283;530;0;354;593;546;580;220;485;337;631;537;270;608;619;656;163;234;211;262;342;792;499;614;514;739;633;761
CAMPO MOURAO - PR;178;337;456;355;315;186;354;0;251;532;585;205;155;107;689;584;455;666;677;757;505;531;551;592;676;1132;839;972;808;1079;937;1112
CORNELIO PROCOPIO - PR;436;281;397;561;573;67,4;593;251;0;446;499;381;228;326;629;499;563;606;617;697;697;649;790;711;794;1270;1067;1016;927;1312;984;1332
MORRETES - PR;574;191;67,4;507;711;464;546;532;446;0;77;332;581;632;277;172;370;254;265;345;532;469;642;530;614;1032;886;783;674;1125;721;1194
GUARATUBA - PR;627;244;130;533;767;517;580;585;499;77;0;384;634;685;118;75;370;157;168;248;556;493;666;554;638;935;916;686;624;1054;671;1195
