;PRES. VENCESLAU - SP;PRES. EPITACIO - SP;ESTRELA DO NORTE - SP;REGENTE FEIJO - SP;TACIBA -SP;HERCULANDIA - SP;TUPA - SP;PARAPUA - SP;ADAMANTINA - SP;PACAEMBU - SP;TRES LAGOAS - MS;CEU AZUL - PR;LINDOESTE - PR;SANTO ANTONIO DO SUDOESTE - PR;SANTA IZABEL DO OESTE - PR;NOVA PRATA DO IGUACU - PR;BOA ESPERANCA DO IGUACU - PR;FRANCISCO BELTRAO - PR;ITAPEJARA D OESTE - PR;CORONEL VIVIDA - PR;HONORIO SERPA - PR;BITURUNA - PR;UNIAO DA VITORIA - PR;PAULO FRONTIN - PR;FOZ DO IGUACU - PR;SANTA TEREZINHA DE ITAIPU - PR;ITAPEVA - SP;LARANJEIRAS DO SUL - PR;FORMOSA DO OESTE - PR;PIRAPOZINHO - SP;OSVALDO CRUZ - SP;DRACENA - SP;TUPI PAULISTA - SP;ANDRADINA - SP;GUARACAI - SP;MIRANDOPOLIS - SP;PENAPOLIS - SP;PROMISSAO - SP;VERA CRUZ - SP;GARCA - SP;BERNARDINO DE CAMPOS - SP;SALTO GRANDE - SP;IBIRAREMA - SP;SANTA TEREZA DO OESTE - PR;CASCAVEL - PR;GUARANIACU - PR;QUEDAS DO IGUACU - PR;NOVA LARANJEIRAS - PR;RIO BONITO DO IGUACU - PR;GUARAPUAVA - PR;IMBITUVA - PR;PONTA GROSSA - PR;IRATI - PR;RIO AZUL - PR;PALMAS - PR;MANGUEIRINHA - PR;SAO JOAO DO IVAI - PR;DOIS VIZINHOS - PR;SALGADO FILHO - PR;REALEZA - PR;CAPANEMA - PR;CAPITAO LEONIDAS MARQUES - PR;ASSIS - SP;OURINHOS - SP;SANTA CRUZ DO RIO DO PARDO - SP;SAO PEDRO DO TURVO - SP;RIBEIRAO DO SUL - SP;MARILIA - SP;GALIA - SP;GUARANTA - SP;PIRAJUI - SP;CAFELANDIA - SP;LINS - SP;GUAICARA - SP;BIRIGUI - SP;BURITAMA - SP;RANCHARIA - SP;PRES. PRUDENTE - SP;ALVARES MACHADO - SP;PRES. BERNARDES - SP;SANTO ANASTACIO - SP;TEODORO SAMPAIO - SP;BATAGUASSU - MS;MAL. CANDIDO RONDON - PR;TOLEDO - PR;IPORA - PR;TERRA ROXA - PR;NOVA SANTA ROSA - PR;QUATRO PONTES - PR;SANTA HELENA - PR;DIAMANTE DO OESTE - PR;MISSAL - PR
PRES. VENCESLAU - SP;0;37,2;109;74,3;91,9;193;170;141;125;99,8;165;542;536;656;607;601;388;672;683;669;689;653;672;639;633;612;454;582;424;78,2;138;61,6;66,1;124;152;154;230;259;247;264;297;232;219;515;501;556;607;590;597;518;525;489;553;586;723;660;657;652;659;589;613;565;180;249;271;271;242;233;283;299;316;231;270;265;222;251;115;57,5;48,3;40,5;27,2;83,6;65,9;477;536;390;461;479;497;607;575;604
PRES. EPITACIO - SP;37,2;0;141;109;126;225;204;175;160;137;164;574;568;688;639;633;420;703;715;701;721;685;704;671;665;643;486;614;456;112;172;96,9;102;159;187;192;265;294;281;296;329;266;251;547;531;588;639;622;629;550;557;521;585;618;755;692;689;684;691;621;645;597;212;281;305;305;276;265;315;331;351;321;302;297;254;283;150;91,8;80,2;72,4;61,4;118;36,9;522;568;422;486;533;530;639;607;636
ESTRELA DO NORTE - SP;109;141;0;57,6;75,5;186;163;134;165;143;270;442;436;556;508;501;288;572;583;569;589;554;596;563;533;512;439;482;324;30,5;131;167;170;229;256;198;224;253;247;265;281;216;202;415;399;456;507;490;497;418;450;413;477;510;623;560;557;552;559;490;513;466;164;231;254;255;226;233;283;291;310;283;264;258;216;245;109;55,3;65;76,8;85,8;66,6;172;475;436;330;382;399;467;507;475;504
REGENTE FEIJO - SP;74,3;109;57,6;0;26,7;134;111;82,2;113;112;236;499;494;614;565;558;345;629;604;590;610;574;606;573;590;569;388;502;382;26,9;79,5;133;135;195;223;166;172;201;199;106;231;167;153;472;457;513;565;547;517;439;459;423;487;520;643;580;578;610;617;547;571;523;114;182;205;206;177;184;233;241;259;230;212;206;164;192;57,1;17,8;30,5;42,3;51;117;137;533;494;390;443;461;525;565;533;561
TACIBA -SP;91,9;126;75,5;26,7;0;161;132;109;140;129;253;493;487;607;558;552;339;622;582;568;588;552;584;551;584;562;388;480;375;44,7;107;150;153;212;240;184;199;228;196;214;231;167;153;466;450;507;558;541;495;416;437;401;465;498;621;558;555;603;610;540;564;516;113;182;204;204;172;184;233;241;263;257;239;234;191;219;72,2;38,7;48,2;60;69,4;135;155;526;487;383;435;452;518;558;526;555
HERCULANDIA - SP;193;225;186;134;161;0;23;58,2;89,3;114;259;627;622;742;693;687;474;757;699;685;705;669;653;620;718;697;380;597;510;156;68,4;145;159;219;199;168;85;113;85,8;103;213;156;143;601;585;642;693;676;612;534;506;461;534;566;738;675;673;738;745;675;699;651;103;68,4;195;165;143;66,9;121;115;138;115;93,8;95,4;114;150;84,5;136;149;161;170;245;255;661;622;520;571;589;653;693;661;689
TUPA - SP;170;204;163;111;132;23;0;35,8;66,9;91,5;237;605;600;720;671;664;451;735;707;693;713;659;651;618;696;675;375;596;488;133;47,5;123;137;196;176;146;94,3;122;94,7;112;219;155;140;578;563;619;670;653;611;532;504;460;532;565;746;683;680;716;723;653;677;629;101;170;192;174;152;74,3;130;124;147;124;106;104;118;154;65,2;114;126;138;147;222;233;638;600;497;549;567;631;671;639;667
PARAPUA - SP;141;175;134;82,2;109;58,2;35,8;0;35;57,9;205;576;570;691;642;635;422;706;689;675;695;659;691;658;667;646;415;588;458;103;12,6;91,1;105;165;145;210;93;122;129;147;259;209;181;549;534;590;641;624;603;524;544;500;571;605;729;666;663;686;695;624;648;600;141;210;233;209;187;110;165;162;180;151;133;127;84,6;120;63,2;83,4;97,2;109;117;193;204;609;571;468;520;538;601;642;609;638
ADAMANTINA - SP;125;160;165;113;140;89,3;66,9;35;0;27;173;607;601;722;673;666;453;737;734;706;726;691;722;689;698;677;449;619;489;135;27,9;58,7;72,4;132;113;81,5;128;157;161;178;291;225;212;580;565;621;672;655;634;555;575;531;603;636;760;697;694;718;724;655;678;631;173;240;264;240;218;142;196;195;214;185;168;162;120;154;94,4;114;110;139;149;205;191;640;602;499;551;569;633;673;640;669
PACAEMBU - SP;99,8;137;143;112;129;114;91,5;57,9;27,6;0;148;585;579;700;651;644;431;715;726;713;732;697;709;714;676;654;471;625;467;112;52,5;33,3;47,6;107;82;56,7;152;181;185;202;314;250;236;557;542;599;650;633;630;561;600;555;589;622;766;703;358;696;702;633;656;609;197;265;288;264;243;165;221;220;238;210;192;186;140;175;119;90,3;85,6;84,6;124;180;166;618;580;477;529;546;611;650;618;647
