;MEDIANEIRA - PR;BATAGUASSU - MS;TRÊS LAGOAS - MS;BITURUNA - PR;BOA ESPERANÇA DO IGUAÇU - PR;CAPANEMA - PR;CAPITÃO LEÔNIDAS MARQUES - PR;CASCAVEL - PR;CEU AZUL - PR;CORONEL VIVIDA - PR;DIAMANTE DO OESTE - PR;DOIS VIZINHOS - PR;FORMOSA DO OESTE - PR;FOZ DO IGUAÇU - PR;FRANCISCO BELTRÃO - PR;GUARANIAÇU - PR;GUARAPUAVA - PR;HONORIO SERPA - PR;IMBUTIVA - PR;IPORÃ - PR;IRATI - PR;ITAPEJARA D'OESTE - PR;LARANJEIRAS DO SUL - PR;LINDOESTE - PR;MANGUEIRINHA - PR;MAL. CÂNDIDO RONDON - PR;MISSAL - PR;NOVA LARANJEIRAS - PR;NOVA PRATA DO IGUAÇU - PR;NOVA SANTA ROSA - PR;PALMAS - PR;PAULO FRONTIN - PR;PONTA GROSSA - PR;QUATRO PONTES - PR;QUEDAS DO IGUAÇU - PR;REALEZA - PR;RIO AZUL - PR;RIO BONITO DO IGUAÇU - PR;SALGADO FILHO - PR;SANTA HELENA - PR ;SANTA IZABEL DO OESTE - PR;SANTA TEREZA DO OESTE - PR;SANTA TEREZINHA DO ITAIPU - PR;SANTO ANTONIO DO SUDOESTE - PR;SÃO JOÃO DO IVAÍ - PR;TERRA ROXA - PR;TOLEDO - PR;UNIÃO DA VITÓRIA - PR;ADAMANTINA - SP;ALVARES MACHADO - SP;ANDRADINA - SP;ASSIS - SP;BERNARDINO DE CAMPOS - SP;BIRIGUI - SP;BURITAMA - SP;CAFELÂNDIA - SP;DRACENA - SP;ESTRELA DO NORTE - SP;GÁLIA - SP;GARÇA - SP;GUAIÇARA - SP;GUARAÇAI - SP;GUARANTÃ - SP;HERCULÂNDIA - SP;IBIRAREMA - SP;ITAPEVA - SP;LINS - SP;MARÍLIA - SP;MIRANDOPOLIS - SP;OSVALDO CRUZ - SP;OURINHOS - SP;PACAEMBU - SP;PARAPUÃ - SP;PENAPOLIS - SP;PIRAJUÍ - SP;PIRAPOZINHO - SP;PRES. BERNARDES - SP;PRES. EPITÁCIO - SP;PRES. PRUDENTE - SP;PRES. VENCESLAU - SP;PROMISSÃO - SP;RANCHARIA - SP;REGENTE FEIJÓ - SP;RIBEIRÃO DO SUL - SP;SALTO GRANDE - SP;SANTA CRUZ DO RIO DO PARDO - SP;SANTO ANASTÁCIO - SP;SÃO PEDRO DO TURVO - SP;TACIBA -SP;TEODORO SAMPAIO - SP;TUPÃ - SP;TUPI PAULISTA - SP;VERA CRUZ - SP
MEDIANEIRA - PR;0;638;737;418;216;167;120;82,4;35,8;323;77,9;205;185;59;226;157;329;343;452;214;428;243;220;90,1;349;121;29,5;200;153;168;359;521;487;149;199;143;468;235;213;64,3;162;63,7;44,3;213;355;211;98,3;491;643;542;697;570;662;694;728;714;635;478;693;675;716;724;769;664;612;708;715;643;676;609;613;621;612;702;723;508;555;610;533;578;730;575;535;636;626;664;563;665;529;499;641;638;657
BATAGUASSU - MS;638;0;135;718;451;676;628;557;603;734;548;716;424;695;735;620;581;754;587;394;614;747;645;599;725;486;571;663;664;497;788;701;551;494;662;652;648;660;722;538;670;577;680;719;387;450;471;734;191;112;190;242;361;286;320;351;128;172;346;327;328;217;361;255;282;519;333;296;221;201;310;166;204;293;379;141;104;36,9;120;65,9;322;178;137;305;295;334;90,1;334;155;133;233;131;310
TRÊS LAGOAS - MS;737;135;0;816;549;774;726;656;701;832;735;815;579;793;833;718;680;852;686;550;712;845;744;697;823;623;764;770;763;634;886;800;649;632;760;750;747;759;820;675;768;675;778;818;485;587;627;833;173;210;41,6;341;454;165;198;258;119;270;342;322;234;68,1;268;259;380;605;240;304;85,5;198;409;148;205;200;286;240;202;164;219;165;229;265;236;380;394;433;189;402;253;245;237;102;323
BITURUNA - PR;418;718;816;0;407;389;358;339;385;226;419;284;432;479;284;266;135;246;231;477;206;277;206;381;116;420;448;242;332;431;154;125;287;412;270;367;172;221;333;451;347;359;462;371;329;472;382;84,8;691;618;773;572;621;742;776;739;710;554;681;676;741;800;726;669;601;521;740;662;752;654;573;697;659;782;737;584;630;685;609;653;761;599;574;598;590;608;639;608;552;575;659;714;671
BOA ESPERANÇA DO IGUAÇU - PR;216;451;549;407;0;253;205;134;180;363;214;293;85,5;274;312;197;271;382;395;143;370;336;260;176;389;215;285;240;241;184;452;463;403;207;239;229;410;275;299;246;247;154;257;297;165;195;177;484;453;352;507;380;472;504;538;524;445;288;503;485;546;534;511;474;422;617;525;453;486;419;423;431;422;512;533;318;365;420;343;388;540;385;345;446;436;474;373;475;339;309;451;448;467
CAPANEMA - PR;167;676;774;389;253;0;47,8;121;132;187;167;97,7;223;225;107;187;314;207;438;251;414;148;206;77,3;230;194;195;196;65,2;205;239;409;472;187;137;43,7;453;203;93,8;199;45,2;106;210;55,6;390;246;156;369;678;578;678;605;698;730;764;749;670;513;728;710;771;760;7366;699;648;691;777;678;711;644;648;656;648;737;759;544;590;645;568;613;766;611;571;671;661;700;599;700;564;534;677;674;693
CAPITÃO LEÔNIDAS MARQUES - PR;120;628;726;358;205;47,8;0;72,4;84,8;188;119;92,3;175;179;107;139;266;208;390;204;366;131;158;29,7;215;147;148;149;40,4;157;240;409;424;139;89,6;24,3;405;173;94;151;42,4;58,7;162;103;343;198;108;370;631;530;685;558;650;682;716;702;622;466;681;662;724;712;689;651;600;644;729;631;664;597;601;609;600;689;711;496;542;597;521;565;718;563;523;623;613;652;551;652;516;487;629;626;645
CASCAVEL - PR;82,4;557;656;339;134;121;72,4;0;48,7;247;82,9;160;112;143;181;81,3;253;267;374;141;353;198;142;44,8;271;84;112;122;108;94,6;334;443;408;76,2;121;98,1;390;157;168;115;116;22,8;650;165;276;136;45,6;416;565;464;619;491;584;616;650;637;556;399;614;596;657;646;622;585;534;628;636;564;597;531;535;542;534;623;645;430;474;531;456;501;652;497;457;557;547;586;485;564;450;420;563;560;579
CEU AZUL - PR;35,8;603;701;385;180;132;84,8;48,7;0;288;43,2;170;151;94,9;191;122;122;308;418;179;393;209;186;56,3;315;123;63,3;166;119;134;325;487;453;115;165;110;434;201;179;76,3;128;27,5;72;177;319;175;62,2;455;607;506;661;534;655;658;692;678;599;442;657;639;700;688;665;627;576;672;679;607;640;573;577;585;576;665;687;472;518;574;497;542;694;539;499;600;590;628;527;628;493;463;605;602;621
CORONEL VIVIDA - PR;323;734;832;226;363;187;188;247;288;0;322;83,9;335;380;74,3;169;159;23,8;283;380;259;42,2;106;196;56,4;323;350;145;133;333;119;293;317;315;121;159;298;88,2;146;354;139;74,6;42,7;183;345;375;285;253;706;634;789;588;637;758;792;732;726;569;697;692;734;816;719;685;617;537;733;678;767;670;589;713;675;775;753;600;646;701;625;669;754;614;590;614;606;624;655;624;568;591;693;730;686
